column	year	season_type	total_records	null_count	pct_null	zero_count	pct_zero	non_zero_count	pct_non_zero	Verdict
dribbles	2020-21	2	113	0	0	113	100	0	0	all 0s or nulls; rectify the api pull
dribbles	2020-21	3	53	0	0	53	100	0	0	all 0s or nulls; rectify the api pull
dribbles	2021-22	1	255	1	0.39	254	99.61	0	0	all 0s or nulls; rectify the api pull
dribbles	2021-22	2	137	0	0	137	100	0	0	all 0s or nulls; rectify the api pull
dribbles	2021-22	3	55	0	0	55	100	0	0	all 0s or nulls; rectify the api pull
dribbles	2022-23	1	311	2	0.64	309	99.36	0	0	all 0s or nulls; rectify the api pull
dribbles	2022-23	2	151	1	0.66	150	99.34	0	0	all 0s or nulls; rectify the api pull
dribbles	2022-23	3	69	0	0	69	100	0	0	all 0s or nulls; rectify the api pull
dribbles	2023-24	1	361	0	0	361	100	0	0	all 0s or nulls; rectify the api pull
dribbles	2023-24	2	175	0	0	175	100	0	0	all 0s or nulls; rectify the api pull
dribbles	2023-24	3	69	0	0	69	100	0	0	all 0s or nulls; rectify the api pull
dribbles	2024-25	1	443	1	0.23	0	0	442	99.77	all 0s or nulls; rectify the api pull
dribbles	2024-25	2	198	0	0	198	100	0	0	all 0s or nulls; rectify the api pull
dribbles	2024-25	3	85	0	0	85	100	0	0	all 0s or nulls; rectify the api pull
